City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vaini,TO,2020-10-31 05:23:24,-21.2,-175.2,75.2,78,75,11.41
1,Sao Joao Do Piaui,BR,2020-10-31 05:23:24,-8.36,-42.25,83.16,49,96,8.1
2,Bluff,NZ,2020-10-31 05:23:24,-46.6,168.33,52.0,87,100,15.99
3,Mana,GF,2020-10-31 05:23:24,5.66,-53.78,78.84,87,3,9.51
4,Virginia Beach,US,2020-10-31 05:22:08,36.85,-75.98,53.01,67,43,1.99
5,Port-Cartier,CA,2020-10-31 05:23:24,50.03,-66.87,26.6,68,1,6.93
6,Hilo,US,2020-10-31 05:23:24,19.73,-155.09,77.0,83,90,3.36
7,Vila,PT,2020-10-31 05:23:24,42.03,-8.16,54.0,94,59,1.99
8,Khatanga,RU,2020-10-31 05:23:24,71.97,102.5,-9.69,86,0,5.68
9,Jamestown,US,2020-10-31 05:23:25,42.1,-79.24,34.0,92,90,8.05
10,Rikitea,PF,2020-10-31 05:23:25,-23.12,-134.97,76.01,67,0,4.0
11,Provideniya,RU,2020-10-31 05:23:25,64.38,-173.3,21.04,84,26,6.96
12,Zalesovo,RU,2020-10-31 05:23:25,53.99,84.74,33.98,97,100,8.25
13,Upata,VE,2020-10-31 05:23:25,8.01,-62.4,78.01,93,100,1.99
14,Albany,US,2020-10-31 05:20:03,42.6,-73.97,30.0,86,43,3.71
15,Dikson,RU,2020-10-31 05:23:25,73.51,80.55,15.4,96,98,26.24
16,Tual,ID,2020-10-31 05:23:25,-5.67,132.75,84.04,69,6,11.56
17,Port Alfred,ZA,2020-10-31 05:23:25,-33.59,26.89,61.81,63,92,3.13
18,Palembang,ID,2020-10-31 05:23:25,-2.92,104.75,93.52,53,32,1.34
19,Acapulco,MX,2020-10-31 05:22:37,16.86,-99.89,80.71,73,95,2.13
20,Mar Del Plata,AR,2020-10-31 05:23:25,-38.0,-57.56,51.01,93,0,5.82
21,Port Hedland,AU,2020-10-31 05:23:25,-20.32,118.57,91.4,43,0,19.46
22,Howard Springs,AU,2020-10-31 05:23:25,-12.5,131.05,96.01,49,20,13.87
23,Lingao,CN,2020-10-31 05:23:25,19.91,109.69,78.93,78,51,14.9
24,Tuatapere,NZ,2020-10-31 05:23:26,-46.13,167.68,52.0,87,100,15.99
25,Saint George,US,2020-10-31 05:18:31,37.1,-113.58,57.2,22,1,1.5
26,Hommelvik,NO,2020-10-31 05:23:26,63.41,10.79,42.8,93,40,10.29
27,Atuona,PF,2020-10-31 05:23:26,-9.8,-139.03,77.77,76,63,11.61
28,Sile,TR,2020-10-31 05:23:26,41.18,29.61,54.0,79,42,4.0
29,Cape Town,ZA,2020-10-31 05:21:10,-33.93,18.42,59.0,58,0,17.22
30,Pisco,PE,2020-10-31 05:23:26,-13.7,-76.22,63.0,88,90,4.7
31,Castro,BR,2020-10-31 05:22:54,-24.79,-50.01,51.62,93,99,9.51
32,Saldanha,ZA,2020-10-31 05:20:16,-33.01,17.94,51.8,71,0,4.7
33,Ponta Do Sol,PT,2020-10-31 05:20:09,32.67,-17.1,66.2,59,0,10.29
34,Obihiro,JP,2020-10-31 05:23:26,42.92,143.2,55.4,56,20,12.75
35,Bredasdorp,ZA,2020-10-31 05:23:26,-34.53,20.04,55.4,71,17,2.77
36,Hithadhoo,MV,2020-10-31 05:23:26,-0.6,73.08,83.91,73,100,10.04
37,Ushuaia,AR,2020-10-31 05:23:26,-54.8,-68.3,48.2,76,75,17.22
38,Margate,GB,2020-10-31 05:23:26,51.38,1.39,57.99,72,12,5.99
39,Bilma,NE,2020-10-31 05:23:26,18.69,12.92,66.76,35,0,13.98
40,Busselton,AU,2020-10-31 05:23:27,-33.65,115.33,68.16,65,100,12.24
41,Port Elizabeth,ZA,2020-10-31 05:20:12,-33.92,25.57,59.0,77,20,6.93
42,Kapaa,US,2020-10-31 05:23:27,22.08,-159.32,75.2,73,1,4.7
43,Carnarvon,AU,2020-10-31 05:23:27,-24.87,113.63,78.8,65,90,18.34
44,Mataura,NZ,2020-10-31 05:23:27,-46.19,168.86,52.0,87,100,15.99
45,Kalabo,ZM,2020-10-31 05:23:27,-14.97,22.68,76.51,32,70,6.31
46,Lavrentiya,RU,2020-10-31 05:23:27,65.58,-171.0,20.3,90,0,10.85
47,Kruisfontein,ZA,2020-10-31 05:23:27,-34.0,24.73,55.0,87,0,2.53
48,Akyab,MM,2020-10-31 05:23:27,20.15,92.9,81.36,76,85,5.86
49,Meulaboh,ID,2020-10-31 05:23:27,4.14,96.13,85.75,62,100,4.36
50,Cherskiy,RU,2020-10-31 05:23:27,68.75,161.3,4.55,88,94,5.41
51,Marathon,US,2020-10-31 05:23:27,44.9,-89.77,27.0,73,1,4.7
52,East London,ZA,2020-10-31 05:23:27,-33.02,27.91,57.2,87,75,6.93
53,Punta Arenas,CL,2020-10-31 05:23:27,-53.15,-70.92,42.01,86,75,5.82
54,Kaohsiung,TW,2020-10-31 05:22:01,22.62,120.31,84.2,54,75,6.93
55,Lumut,MY,2020-10-31 05:23:28,4.23,100.63,89.6,70,40,2.24
56,Snasa,NO,2020-10-31 05:23:28,64.25,12.38,38.79,86,100,3.09
57,Moron,AR,2020-10-31 05:21:17,-34.65,-58.62,57.99,98,0,3.36
58,Kon Tum,VN,2020-10-31 05:23:28,14.35,108.0,77.52,75,94,4.7
59,Alta Floresta,BR,2020-10-31 05:23:28,-9.88,-56.09,71.31,96,99,2.73
60,Huilong,CN,2020-10-31 05:23:28,31.81,121.66,73.99,51,0,5.77
61,Saint-Georges,GD,2020-10-31 05:23:28,12.06,-61.75,82.11,82,100,14.5
62,Roma,US,2020-10-31 05:23:28,43.21,-75.46,26.6,79,1,1.68
63,Abu Samrah,SY,2020-10-31 05:23:28,35.3,37.18,67.19,52,98,0.85
64,Airai,TL,2020-10-31 05:23:28,-8.93,125.41,79.2,46,0,4.61
65,Nanortalik,GL,2020-10-31 05:23:28,60.14,-45.24,27.18,92,86,10.76
66,Zhaoqing,CN,2020-10-31 05:23:29,23.05,112.46,82.99,99,39,5.35
67,Awash,ET,2020-10-31 05:23:29,8.98,40.17,77.61,50,14,1.3
68,Nome,US,2020-10-31 05:23:29,64.5,-165.41,21.2,79,1,12.75
69,Chaiyaphum,TH,2020-10-31 05:23:29,15.75,102.0,82.26,76,81,12.03
70,Maniitsoq,GL,2020-10-31 05:23:29,65.42,-52.9,20.17,85,65,6.13
71,Torbay,CA,2020-10-31 05:23:29,47.67,-52.73,34.0,55,90,14.99
72,Van Buren,US,2020-10-31 05:22:18,35.44,-94.35,48.2,87,1,3.36
73,Pitimbu,BR,2020-10-31 05:21:24,-7.47,-34.81,77.0,88,40,3.36
74,Villa Carlos Paz,AR,2020-10-31 05:23:29,-31.42,-64.5,60.01,74,0,1.86
75,Bac Lieu,VN,2020-10-31 05:23:29,9.29,105.72,86.86,66,76,11.63
76,Peace River,CA,2020-10-31 05:23:29,56.25,-117.29,24.8,85,40,11.41
77,Ilulissat,GL,2020-10-31 05:23:29,69.22,-51.1,19.4,73,98,3.36
78,Hasanabad,IR,2020-10-31 05:23:29,36.55,61.05,59.0,24,0,6.93
79,Black Forest,US,2020-10-31 05:22:17,39.01,-104.7,44.01,74,1,11.41
80,Ribeira Grande,PT,2020-10-31 05:23:29,38.52,-28.7,68.92,93,100,20.22
81,Moree,AU,2020-10-31 05:23:29,-29.47,149.85,78.8,22,40,18.7
82,Lazaro Cardenas,MX,2020-10-31 05:23:29,17.96,-102.2,78.19,86,55,3.96
83,Upernavik,GL,2020-10-31 05:23:30,72.79,-56.15,19.38,96,96,2.68
84,Kalmunai,LK,2020-10-31 05:23:30,7.42,81.82,87.51,58,100,8.41
85,Ginir,ET,2020-10-31 05:23:30,7.13,40.7,63.23,78,46,0.34
86,Amarillo,US,2020-10-31 05:19:41,35.22,-101.83,48.99,66,1,17.22
87,Ambon,ID,2020-10-31 05:23:30,-3.7,128.18,84.94,67,84,10.78
88,Santa Maria,BR,2020-10-31 05:23:30,-29.68,-53.81,60.8,82,90,8.05
89,Petropavl,KZ,2020-10-31 05:23:30,54.88,69.16,33.8,80,0,8.95
90,Ayan,RU,2020-10-31 05:23:30,56.45,138.17,31.21,88,58,2.86
91,Salalah,OM,2020-10-31 05:19:43,17.02,54.09,77.0,36,0,4.7
92,Komsomolskiy,UZ,2020-10-31 05:23:30,40.43,71.72,53.6,22,0,2.24
93,Ewa Beach,US,2020-10-31 05:23:30,21.32,-158.01,78.8,83,90,3.36
94,Katsuura,JP,2020-10-31 05:23:30,35.13,140.3,66.99,51,20,11.41
95,Yerbogachen,RU,2020-10-31 05:23:30,61.28,108.01,12.33,92,100,6.64
96,Eha Amufu,NG,2020-10-31 05:23:31,6.66,7.76,77.0,88,20,4.7
97,New Norfolk,AU,2020-10-31 05:23:31,-42.78,147.06,70.0,34,28,3.0
98,Zhigansk,RU,2020-10-31 05:23:31,66.77,123.37,-7.74,88,97,1.12
99,Wanning,CN,2020-10-31 05:23:31,18.8,110.4,80.06,73,86,15.84
100,Roald,NO,2020-10-31 05:23:31,62.58,6.13,46.4,75,48,9.17
101,Luganville,VU,2020-10-31 05:23:31,-15.53,167.17,78.8,88,75,9.17
102,Barrow,US,2020-10-31 05:23:31,71.29,-156.79,5.0,84,1,6.93
103,Los Llanos De Aridane,ES,2020-10-31 05:21:44,28.66,-17.92,75.2,27,75,11.41
104,Eyl,SO,2020-10-31 05:23:31,7.98,49.82,82.27,63,95,8.21
105,Darnah,LY,2020-10-31 05:23:31,32.77,22.64,68.32,72,26,14.74
106,Yellowknife,CA,2020-10-31 05:20:30,62.46,-114.35,12.2,85,75,9.17
107,Bandarbeyla,SO,2020-10-31 05:23:31,9.49,50.81,78.98,75,42,12.08
108,Butaritari,KI,2020-10-31 05:23:31,3.07,172.79,82.45,76,39,19.55
109,Pakxan,LA,2020-10-31 05:23:31,18.38,103.66,88.27,55,14,5.61
110,Ambilobe,MG,2020-10-31 05:23:32,-13.2,49.05,81.75,42,14,8.72
111,Broome,US,2020-10-31 05:23:32,42.25,-75.83,30.2,80,90,1.3
112,Georgetown,MY,2020-10-31 05:20:39,5.41,100.34,87.8,70,20,6.93
113,Calabozo,VE,2020-10-31 05:23:32,8.92,-67.43,76.12,91,69,5.41
114,Havoysund,NO,2020-10-31 05:22:08,71.0,24.66,30.2,63,17,41.38
115,Saint-Philippe,RE,2020-10-31 05:23:32,-21.36,55.77,73.4,49,75,19.46
116,Talnakh,RU,2020-10-31 05:23:32,69.49,88.4,14.0,78,75,29.08
117,Hofn,IS,2020-10-31 05:23:32,64.25,-15.21,45.64,82,40,19.48
118,Ibarra,EC,2020-10-31 05:23:32,0.35,-78.12,51.8,93,75,2.24
119,Tieli,CN,2020-10-31 05:23:32,46.95,128.05,48.58,51,100,18.9
120,Daru,PG,2020-10-31 05:23:32,-9.08,143.21,84.47,71,17,11.27
121,Alice Springs,AU,2020-10-31 05:19:25,-23.7,133.88,84.2,13,0,8.05
122,Puerto Ayora,EC,2020-10-31 05:23:32,-0.74,-90.35,70.0,90,90,5.01
123,Lumby,CA,2020-10-31 05:23:33,50.25,-118.97,42.01,80,44,1.12
124,Bambous Virieux,MU,2020-10-31 05:23:33,-20.34,57.76,75.0,56,20,17.22
125,Kibala,TD,2020-10-31 05:23:33,9.11,18.35,73.4,94,0,3.4
126,Clyde River,CA,2020-10-31 05:21:09,70.47,-68.59,15.8,85,90,3.36
127,Oussouye,SN,2020-10-31 05:23:33,12.48,-16.55,78.8,67,58,2.89
128,Naze,JP,2020-10-31 05:23:33,28.37,129.48,77.0,53,40,21.92
129,Lebu,CL,2020-10-31 05:23:33,-37.62,-73.65,51.22,90,3,10.98
130,Talara,PE,2020-10-31 05:23:33,-4.58,-81.27,63.23,90,88,15.21
131,Cidreira,BR,2020-10-31 05:23:33,-30.18,-50.21,62.29,70,83,7.52
132,Coihaique,CL,2020-10-31 05:23:33,-45.58,-72.07,48.2,70,0,8.05
133,Esperance,AU,2020-10-31 05:20:42,-33.87,121.9,87.8,22,13,17.22
134,Avarua,CK,2020-10-31 05:23:33,-21.21,-159.78,75.2,78,95,12.75
135,Narsaq,GL,2020-10-31 05:23:33,60.92,-46.05,21.2,79,89,2.86
136,Verkhoyansk,RU,2020-10-31 05:23:33,67.54,133.38,-2.09,90,97,3.49
137,Luanda,AO,2020-10-31 05:22:07,-8.84,13.23,75.2,94,40,2.24
138,Tweed,CA,2020-10-31 05:23:33,44.48,-77.32,27.0,55,0,1.52
139,Klaksvik,FO,2020-10-31 05:23:33,62.23,-6.59,46.4,81,27,14.99
140,Qaanaaq,GL,2020-10-31 05:23:34,77.48,-69.36,14.88,90,95,6.17
141,Kavieng,PG,2020-10-31 05:23:34,-2.57,150.8,83.82,70,100,5.21
142,Antananarivo,MG,2020-10-31 05:23:34,-18.91,47.54,57.2,71,75,11.41
143,Peniche,PT,2020-10-31 05:23:34,39.36,-9.38,59.0,91,36,1.01
144,Cabedelo,BR,2020-10-31 05:23:34,-6.98,-34.83,75.2,94,75,9.95
145,Strezhevoy,RU,2020-10-31 05:20:43,60.73,77.59,33.8,100,90,13.42
146,Opuwo,NA,2020-10-31 05:23:34,-18.06,13.84,68.63,57,6,4.47
147,Vuyyuru,IN,2020-10-31 05:23:34,16.37,80.85,86.0,58,20,4.7
148,Severo-Kurilsk,RU,2020-10-31 05:23:34,50.68,156.12,40.42,91,100,38.27
149,Bathsheba,BB,2020-10-31 05:23:34,13.22,-59.52,80.6,88,75,14.99
150,Enid,US,2020-10-31 05:23:34,36.4,-97.88,52.0,100,1,11.41
151,Pevek,RU,2020-10-31 05:23:34,69.7,170.31,19.22,97,100,9.06
152,Jishui,CN,2020-10-31 05:23:34,33.73,115.4,70.07,56,62,8.08
153,Hermanus,ZA,2020-10-31 05:23:34,-34.42,19.23,55.0,79,0,4.0
154,Tiarei,PF,2020-10-31 05:23:06,-17.53,-149.33,82.0,65,20,4.7
155,Omboue,GA,2020-10-31 05:23:35,-1.57,9.26,76.26,92,99,5.01
156,Tomohon,ID,2020-10-31 05:23:35,1.33,124.84,89.6,59,40,8.05
157,Mahebourg,MU,2020-10-31 05:23:35,-20.41,57.7,71.6,56,20,17.22
158,Fortuna,US,2020-10-31 05:23:05,40.6,-124.16,50.0,93,1,3.36
159,Severo-Yeniseyskiy,RU,2020-10-31 05:23:35,60.37,93.04,11.8,92,24,1.43
160,Davenda,RU,2020-10-31 05:23:35,53.56,119.32,27.82,84,100,8.21
161,Ejido,VE,2020-10-31 05:23:35,8.55,-71.24,67.93,68,77,0.94
162,Tinskoy,RU,2020-10-31 05:23:35,56.15,96.92,25.25,91,100,8.55
163,Takoradi,GH,2020-10-31 05:19:31,4.88,-1.76,77.43,90,21,5.32
164,Siilinjarvi,FI,2020-10-31 05:23:35,63.08,27.67,30.2,92,90,3.36
165,Tuktoyaktuk,CA,2020-10-31 05:20:19,69.45,-133.04,1.4,84,40,5.82
166,Coari,BR,2020-10-31 05:23:35,-4.08,-63.14,76.24,91,84,3.02
167,Bandrele,YT,2020-10-31 05:23:35,-12.91,45.19,80.6,65,75,14.99
168,Rocha,UY,2020-10-31 05:23:35,-34.48,-54.33,43.84,91,42,1.36
169,Champerico,GT,2020-10-31 05:23:35,14.3,-91.92,64.99,96,22,1.99
170,Kodiak,US,2020-10-31 05:22:08,57.79,-152.41,35.6,64,90,8.05
171,Mount Isa,AU,2020-10-31 05:23:36,-20.73,139.5,91.4,14,0,13.87
172,Gardner,US,2020-10-31 05:23:36,42.58,-72.0,25.0,85,1,4.7
173,Tingi,TZ,2020-10-31 05:23:36,-11.3,35.03,66.42,69,4,8.57
174,Kahului,US,2020-10-31 05:22:32,20.89,-156.47,80.6,61,20,10.29
175,Uyuni,BO,2020-10-31 05:23:36,-20.46,-66.83,44.13,40,31,5.93
176,Price,US,2020-10-31 05:23:36,39.6,-110.81,37.4,51,1,10.29
177,Tahta,EG,2020-10-31 05:23:36,26.77,31.5,71.6,68,0,5.82
178,Kamarai,GR,2020-10-31 05:23:36,38.3,22.0,55.4,93,0,5.03
179,Evensk,RU,2020-10-31 05:23:36,61.95,159.23,23.45,91,4,4.29
180,Imeni Babushkina,RU,2020-10-31 05:23:36,59.76,43.13,37.26,95,100,4.34
181,Port Blair,IN,2020-10-31 05:23:36,11.67,92.75,83.82,75,82,10.56
182,Sitka,US,2020-10-31 05:23:36,57.05,-135.33,46.4,87,90,23.04
183,Prince Rupert,CA,2020-10-31 05:23:36,54.32,-130.32,46.4,87,90,9.17
184,Katangli,RU,2020-10-31 05:23:37,51.71,143.23,40.59,69,25,2.26
185,Tigil,RU,2020-10-31 05:23:37,57.8,158.67,34.34,87,76,5.12
186,Saint-Ambroise,CA,2020-10-31 05:18:37,48.55,-71.33,24.8,85,26,3.36
187,Yulara,AU,2020-10-31 05:23:37,-25.24,130.99,84.2,10,36,5.82
188,Namibe,AO,2020-10-31 05:23:37,-15.2,12.15,73.31,78,74,6.98
189,Hobart,AU,2020-10-31 05:21:38,-42.88,147.33,70.0,59,40,16.11
190,Placido De Castro,BR,2020-10-31 05:23:37,-10.34,-67.19,69.49,82,100,4.38
191,Nikolskoye,RU,2020-10-31 05:23:37,59.7,30.79,44.01,93,90,4.47
192,Saint Anthony,US,2020-10-31 05:18:51,45.02,-93.22,37.99,64,1,13.87
193,Victoria,HK,2020-10-31 05:23:37,22.29,114.16,77.0,62,31,3.0
194,Innisfail,AU,2020-10-31 05:20:33,-17.53,146.03,83.97,62,2,10.54
195,Barra Patuca,HN,2020-10-31 05:23:37,15.8,-84.28,79.39,84,99,7.85
196,Sampit,ID,2020-10-31 05:23:37,-2.53,112.95,84.29,82,100,2.95
197,Beringovskiy,RU,2020-10-31 05:23:37,63.05,179.32,21.7,89,62,13.11
198,Odweyne,SO,2020-10-31 05:23:37,9.41,45.06,75.4,54,7,5.84
199,Krasnoarmeysk,RU,2020-10-31 05:23:37,51.02,45.7,45.0,68,100,4.0
200,Tiksi,RU,2020-10-31 05:23:37,71.69,128.87,6.48,95,100,3.22
201,Norman Wells,CA,2020-10-31 05:23:37,65.28,-126.83,6.8,84,75,4.7
202,Puerto Suarez,BO,2020-10-31 05:23:38,-18.95,-57.8,71.92,64,29,7.05
203,Oranjemund,NA,2020-10-31 05:23:38,-28.55,16.43,56.25,80,1,14.41
204,Karratha,AU,2020-10-31 05:19:29,-20.74,116.85,88.43,42,0,14.9
205,Walvis Bay,NA,2020-10-31 05:23:38,-22.96,14.51,54.0,87,60,4.7
206,Altamira,BR,2020-10-31 05:23:38,-3.2,-52.21,72.95,80,99,0.76
207,Skibbereen,IE,2020-10-31 05:23:38,51.55,-9.27,57.2,93,90,28.86
208,Caravelas,BR,2020-10-31 05:23:38,-17.71,-39.25,74.55,89,69,6.42
209,Praia Da Vitoria,PT,2020-10-31 05:23:38,38.73,-27.07,69.8,94,40,13.85
210,Arrecife,ES,2020-10-31 05:23:38,28.96,-13.55,73.4,56,0,10.29
211,Stokmarknes,NO,2020-10-31 05:23:38,68.56,14.91,30.99,75,100,28.01
212,Knysna,ZA,2020-10-31 05:23:01,-34.04,23.05,53.6,87,0,2.17
213,Narwana,IN,2020-10-31 05:19:58,29.62,76.12,82.02,16,0,8.05
214,San Quintin,MX,2020-10-31 05:23:38,30.48,-115.95,63.5,75,80,4.43
215,Oktyabrskiy,RU,2020-10-31 05:23:38,54.48,53.47,38.66,76,100,5.37
216,Volnovakha,UA,2020-10-31 05:23:38,47.6,37.5,55.0,100,95,8.99
217,Henties Bay,NA,2020-10-31 05:21:11,-22.12,14.28,54.0,91,40,5.01
218,Rabo De Peixe,PT,2020-10-31 05:23:38,37.8,-25.58,69.8,94,75,16.11
219,Mikhaylovka,RU,2020-10-31 05:23:39,50.06,43.24,51.01,92,100,1.01
220,Kyabe,TD,2020-10-31 05:23:39,9.45,18.94,73.29,82,48,4.36
221,Rognan,NO,2020-10-31 05:23:39,67.1,15.39,41.0,93,75,23.04
222,Dongying,CN,2020-10-31 05:23:39,37.46,118.49,68.09,48,93,12.12
223,Cumana,VE,2020-10-31 05:23:39,10.46,-64.18,69.8,100,36,13.87
224,Ous,RU,2020-10-31 05:23:39,60.91,61.52,35.28,87,88,8.59
225,Chuy,UY,2020-10-31 05:23:39,-33.7,-53.46,52.86,85,98,6.22
226,Waitara,NZ,2020-10-31 05:21:45,-38.92,174.25,59.0,96,91,14.0
227,Samarai,PG,2020-10-31 05:21:39,-10.62,150.67,82.65,74,78,8.23
228,Yar-Sale,RU,2020-10-31 05:23:39,66.83,70.83,34.14,97,100,14.81
229,Turkmenabat,TM,2020-10-31 05:23:39,39.07,63.58,53.6,27,0,4.7
230,Luoyang,CN,2020-10-31 05:23:39,34.68,112.45,73.0,99,0,12.59
231,Agirish,RU,2020-10-31 05:23:39,61.92,63.02,33.39,92,98,8.88
232,Ahuimanu,US,2020-10-31 05:23:39,21.44,-157.84,78.8,78,40,6.93
233,Opochka,RU,2020-10-31 05:23:39,56.71,28.66,44.94,96,86,4.34
234,Sola,VU,2020-10-31 05:23:39,-13.88,167.55,80.83,80,100,16.42
235,Ketchikan,US,2020-10-31 05:23:39,55.34,-131.65,46.4,87,90,8.05
236,Oranjestad,AW,2020-10-31 05:23:40,12.52,-70.03,80.6,88,20,5.82
237,Vardo,NO,2020-10-31 05:20:30,70.37,31.11,34.34,86,25,11.77
238,Marsh Harbour,BS,2020-10-31 05:23:40,26.54,-77.06,79.25,86,3,14.97
239,Kaitangata,NZ,2020-10-31 05:23:40,-46.28,169.85,55.0,89,100,7.0
240,Warrington,GB,2020-10-31 05:23:40,53.39,-2.58,59.0,87,75,25.28
241,College,US,2020-10-31 05:23:40,64.86,-147.8,10.4,78,90,6.93
242,Morehead,US,2020-10-31 05:23:40,37.27,-87.18,39.2,100,1,3.65
243,Liverpool,GB,2020-10-31 05:20:28,53.41,-2.98,59.0,87,75,25.28
244,Asau,RO,2020-10-31 05:23:40,46.43,26.4,42.01,97,100,3.18
245,Imbituba,BR,2020-10-31 05:23:40,-28.24,-48.67,62.6,88,75,4.7
246,Tateyama,JP,2020-10-31 05:23:40,34.98,139.87,66.0,48,20,14.99
247,Baoning,CN,2020-10-31 05:23:40,25.34,110.03,75.2,60,75,2.24
248,Isangel,VU,2020-10-31 05:23:40,-19.55,169.27,82.4,69,20,13.87
249,Oudtshoorn,ZA,2020-10-31 05:23:40,-33.59,22.2,53.6,87,0,1.68
250,Te Anau,NZ,2020-10-31 05:23:40,-45.42,167.72,56.61,77,82,7.67
251,Magadan,RU,2020-10-31 05:23:40,59.57,150.8,31.89,98,100,14.41
252,Vanimo,PG,2020-10-31 05:23:40,-2.67,141.3,85.57,62,99,6.46
253,Domoni,KM,2020-10-31 05:23:40,-12.26,44.53,77.41,73,98,8.61
254,Cobourg,DE,2020-10-31 05:23:41,50.27,10.97,52.0,92,77,1.01
255,La Ronge,CA,2020-10-31 05:23:41,55.1,-105.28,23.0,79,100,17.22
256,Pandavapura,IN,2020-10-31 05:23:41,12.5,76.67,80.6,57,0,5.55
257,Aksu,CN,2020-10-31 05:23:41,41.12,80.26,52.84,41,21,2.19
258,Kingaroy,AU,2020-10-31 05:23:41,-26.53,151.83,86.0,35,40,20.8
259,Seoul,KR,2020-10-31 05:23:41,37.57,126.98,66.2,51,20,3.36
260,Ocampo,MX,2020-10-31 05:23:41,21.65,-101.5,48.31,63,0,5.75
261,Andenes,NO,2020-10-31 05:23:41,69.31,16.12,41.0,60,84,18.34
262,Edd,ER,2020-10-31 05:23:41,13.93,41.69,88.59,43,0,12.28
263,Thompson,CA,2020-10-31 05:23:41,55.74,-97.86,17.6,85,90,9.17
264,Srednekolymsk,RU,2020-10-31 05:23:41,67.45,153.68,5.5,94,100,0.74
265,Ust-Karsk,RU,2020-10-31 05:23:41,52.7,118.81,29.7,90,100,10.09
266,Gunjur,GM,2020-10-31 05:23:41,13.2,-16.73,69.8,88,0,5.82
267,Tilichiki,RU,2020-10-31 05:21:41,60.47,166.1,28.49,97,95,2.98
268,Puerto Baquerizo Moreno,EC,2020-10-31 05:22:24,-0.9,-89.6,68.54,92,82,10.04
269,Zhanaozen,KZ,2020-10-31 05:23:41,43.3,52.8,51.62,39,0,19.86
270,Bethel,US,2020-10-31 05:20:16,41.37,-73.41,30.0,92,1,3.36
271,Arraial Do Cabo,BR,2020-10-31 05:23:41,-22.97,-42.03,71.19,80,100,14.09
272,Hartselle,US,2020-10-31 05:22:57,34.44,-86.94,46.0,86,1,7.36
273,Swan Hill,AU,2020-10-31 05:23:41,-35.34,143.55,72.91,49,68,14.67
274,Litovko,RU,2020-10-31 05:23:42,49.24,135.17,42.28,70,77,4.47
275,Isaccea,RO,2020-10-31 05:23:42,45.27,28.47,46.4,93,25,13.87
276,Killybegs,IE,2020-10-31 05:23:42,54.63,-8.45,57.99,93,100,20.0
277,San Patricio,US,2020-10-31 05:20:22,28.02,-97.52,55.0,81,20,3.36
278,Half Moon Bay,US,2020-10-31 05:23:33,37.46,-122.43,57.0,82,1,3.42
279,Labuan,MY,2020-10-31 05:23:42,5.28,115.24,84.2,79,20,2.24
280,Hope,US,2020-10-31 05:22:10,33.67,-93.59,48.0,87,1,3.74
281,Ekhabi,RU,2020-10-31 05:23:42,53.51,142.97,39.78,71,27,6.82
282,Luderitz,NA,2020-10-31 05:23:42,-26.65,15.16,58.75,62,100,23.98
283,Spring Valley,US,2020-10-31 05:23:42,36.11,-115.25,64.4,18,1,3.36
284,Tura,IN,2020-10-31 05:20:15,25.52,90.22,83.7,70,96,3.76
285,Pouembout,NC,2020-10-31 05:23:42,-21.13,164.9,84.0,53,27,7.18
286,Tres Arroyos,AR,2020-10-31 05:23:42,-38.37,-60.28,48.06,60,0,10.49
287,Ahipara,NZ,2020-10-31 05:23:42,-35.17,173.17,66.06,90,39,13.0
288,Iqaluit,CA,2020-10-31 05:23:42,63.75,-68.51,19.4,73,90,10.29
289,Samarinda,ID,2020-10-31 05:23:16,-0.5,117.15,84.13,79,95,2.33
